"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"merilainenmitrunen2023",0.206132937209871,0.0496812143003274,411,"finland","1919","Y","N","N","N","N","N","s",1,"Municipality","Finnish Civil War",1,1,"1","1","",0.206132937209871,0.00223615583278674
"merilainenmitrunen2023",0.229671985346315,0.0527244766052699,410,"finland","1922","Y","N","N","N","N","N","s",4,"Municipality","Finnish Civil War",1,1,"1","1","",0.229671985346315,0.00219384850512165
"merilainenmitrunen2023",0.189239492392869,0.0519535826885056,408,"finland","1924","Y","N","N","N","N","N","s",6,"Municipality","Finnish Civil War",1,1,"1","1","",0.189239492392869,0.00228417518106253
"merilainenmitrunen2023",0.204927965160704,0.0571244870750517,406,"finland","1927","Y","N","N","N","N","N","s",9,"Municipality","Finnish Civil War",1,1,"1","1","",0.204927965160704,0.00226610537720176
"merilainenmitrunen2023",0.218935037587693,0.0567650451417297,406,"finland","1929","Y","N","N","N","N","N","s",11,"Municipality","Finnish Civil War",1,1,"1","1","",0.218935037587693,0.00223810476061229
"merilainenmitrunen2023",0.17333416816812,0.0565838075823559,407,"finland","1930","Y","N","N","N","N","N","s",12,"Municipality","Finnish Civil War",1,1,"1","1","",0.17333416816812,0.00231727393675695
"merilainenmitrunen2023",0.161077640170409,0.0598925428720958,406,"finland","1933","Y","N","N","N","N","N","s",15,"Municipality","Finnish Civil War",1,1,"1","1","",0.161077640170409,0.00234266958743227
"merilainenmitrunen2023",0.213130878320709,0.0583827360126064,405,"finland","1936","Y","N","N","N","N","N","s",18,"Municipality","Finnish Civil War",1,1,"1","1","",0.213130878320709,0.0022554798694544
"mironovawhitt2021a",0.218233960372191,0.0359290590307567,596,"iraq","2019","N","N","N","N","N","N","s",3.5,"Individual","ISIL insurgency",1,1,"1","0","2",0.218233960372191,0.00152439683833732
"mironovawhitt2021b",0.138663786404553,0.0749079260831625,200,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.138663786404553,0.00483374075898258
"ochsnerroesel2017",0.127931498009038,0.0270494271462109,151,"austria","2006","N","N","N","Y","N","N","s",400,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.127931498009038,0.00645023283276738
"ochsnerroesel2017",0.159908211460034,0.0380324206824254,151,"austria","2008","N","N","N","Y","N","N","s",402,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.159908211460034,0.00633008390163649
"ochsnerroesel2017",0.139955084179414,0.0340662635743949,151,"austria","2013","N","N","N","Y","N","N","s",407,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.139955084179414,0.00640805877377212
"pechenkinaetal2019",-0.0547884609538664,0.0165866658374668,2022,"ukraine","2015","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","1","1",-0.0547884609538664,0.000491838426397075
"rappetal2019",0.239853227075901,0.0405595063850203,504,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"1","0","1",0.239853227075901,0.00176590558729408
"rozenasetal2017",0.521628127185573,0.089069309143649,218,"ukraine","2004","N","N","Y","Y","N","N","s",60,"District/Precinct","World War II",1,1,"0","0","",0.521628127185573,0.00244167914435869
"rozenasetal2017",0.477741926390258,0.0788881420515109,216,"ukraine","2006","N","N","Y","Y","N","N","s",62,"District/Precinct","World War II",1,1,"0","0","",0.477741926390258,0.00277031437518792
