"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"schaub2023",-0.0264982319563285,0.0231429619479175,1686,"armenia","2018","N","N","N","N","N","N","s",99,"Individual","World War I",1,1,"0","1","",-0.0264982319563285,0.000592638682747681
"stageuwera2018",0.193945369038133,0.0609785193128962,300,"rwanda","2011","N","N","N","N","N","N","s",67,"Individual","Rwandan Genocide",1,1,"0","0","2",0.193945369038133,0.00309760956956733
"stageuwera2018",0.13037116880367,0.0593935984990606,300,"rwanda","2011","N","N","N","N","N","N","s",67,"Individual","Rwandan Genocide",1,1,"0","0","2",0.13037116880367,0.00323175786795012
"velezetal2016",-0.0644047731173612,0.195655925940838,6941,"colombia","2014","N","N","N","N","N","N","s",1,"Individual","Colombia conflict",1,1,"1","1","2",-0.0644047731173612,0.000142899316440108
"velezetal2016",-0.0581968432574292,0.114727598129748,6889,"colombia","2014","N","N","N","N","N","N","s",1,"Individual","Colombia conflict",1,1,"1","1","2",-0.0581968432574292,0.000144198276099813
"velezetal2016",0.0733348338848129,0.0408030785644193,9555,"colombia","2014","N","N","N","N","N","N","s",1,"Individual","Colombia conflict",1,1,"1","1","2",0.0733348338848129,0.000103545418373369
"velezetal2016",0.0119782961100046,0.0609239485780772,4725,"colombia","2014","N","N","N","N","N","N","s",1,"Individual","Colombia conflict",1,1,"1","1","2",0.0119782961100046,0.000211624272106476
"voorsetal2012",0.146261646275391,0.0768033471690803,286,"burundi","2009","N","N","N","N","N","N","s",11,"Individual","Burundian Civil War",1,1,"0","0","2",0.146261646275391,0.00336025508559602
"voorsetal2012",0.0694641266789117,0.0890616335118585,286,"burundi","2009","N","N","N","N","N","N","s",11,"Individual","Burundian Civil War",1,1,"0","0","2",0.0694641266789117,0.00347499211716064
"wernerlambsdorff2020",0.0565163320356761,0.0377522747626545,358,"indonesia","2013","N","N","N","N","N","N","s",12.5,"Individual","Maluku conflict",1,1,"1","1","1",0.0565163320356761,0.00278325493186096
